jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
36,Langreo,Logrones,2,0
36,Deportivo,Santander,2,0
36,Sant Andreu,Rayo Vallecano,0,2
37,Oviedo,Betis,0,0
37,Pontevedra,Castellon,1,1
37,Santander,Moscardo,1,0
37,Rayo Vallecano,Cadiz,6,0
37,Cordoba,Hercules,2,1
37,Racing de Ferrol,Deportivo,1,0
37,Villarreal,Calvo Sotelo,1,0
37,Burgos,Logrones,0,0
37,Ontinyent,Langreo,3,2
37,Mallorca,Sant Andreu,0,0
38,Castellon,Cordoba,1,0
38,Betis,Burgos,1,0
38,Hercules,Santander,4,1
38,Moscardo,Racing de Ferrol,1,2
38,Sant Andreu,Villarreal,1,1
38,Deportivo,Rayo Vallecano,1,0
38,Logrones,Ontinyent,2,0
38,Calvo Sotelo,Oviedo,1,0
38,Cadiz,Mallorca,1,0
38,Langreo,Pontevedra,3,1
1,Atletico de Bilbao,Las Palmas,1,2
1,Valencia,Espanol,1,1
1,Barcelona,Real Sociedad,3,0
1,Celta de Vigo,Atletico de Madrid,2,1
1,Deportivo,Cordoba,3,2
1,Granada,CD Malaga,2,0
1,Real Madrid,Betis,2,0
1,Sabadell,Sporting de Gijon,0,2
1,Sevilla,Burgos,2,0
2,Atletico de Madrid,Sabadell,5,0
2,Sporting de Gijon,Atletico de Bilbao,3,2
2,Las Palmas,Valencia,1,1
2,CD Malaga,Deportivo,2,0
2,Betis,Celta de Vigo,1,1
2,Burgos,Real Madrid,1,2
2,Cordoba,Sevilla,1,1
2,Espanol,Barcelona,3,0
2,Real Sociedad,Granada,3,1
3,Valencia,Sporting de Gijon,1,0
3,Atletico de Bilbao,Atletico de Madrid,0,1
3,Barcelona,Las Palmas,1,2
3,Burgos,Cordoba,1,0
3,Deportivo,Real Sociedad,1,0
3,Granada,Espanol,0,0
3,Real Madrid,Celta de Vigo,3,0
3,Sabadell,Betis,2,1
3,Sevilla,CD Malaga,1,2
4,Las Palmas,Granada,2,2
4,Atletico de Madrid,Valencia,0,1
4,Betis,Atletico de Bilbao,1,0
4,Celta de Vigo,Sabadell,0,1
