identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
45339,00:33.0,0:00:00,1,1,2012-09-05,1,651 Klenzoid Solution Scoping,2012-08-23,1
47941,21:39.7,0:00:00,1,1,2014-07-14,1,652 TIFF - NetSuite Implementation,2012-08-27,1
48344,00:00.0,0:00:00,1,1,2014-04-23,2,653 Palnet EoD General Sep2012-Aug2013,2012-08-29,1
48954,01:27.7,0:00:00,1,1,2012-10-16,1,654 Auto Provisioning,2012-09-11,1
48955,00:00.0,0:00:00,1,1,2013-07-04,1,655 Custom Data Entry,2012-09-11,1
48957,00:00.0,0:00:00,1,1,2013-07-25,1,656 Postmedia Training CRM1,2012-09-11,1
48958,01:34.0,0:00:00,1,1,2015-03-31,2,657 Factiva Search Integration for NetSuite,2012-09-11,1
48959,00:00.0,0:00:00,1,1,2013-02-12,2,658 6 Month EoD (RR),2012-09-11,1
48960,00:00.0,0:00:00,1,1,2013-04-24,2,659 NetSuite Expertise On Demand,2012-09-11,1
50473,02:29.8,0:00:00,1,1,2013-08-27,1,660 8 Month EOD,2012-10-02,1
50678,00:00.0,0:00:00,1,1,2013-05-07,1,661 Blue Balloon 12 Month EoD,2012-10-09,1
50881,01:59.6,0:00:00,1,1,2015-02-17,1,662 Workopolis Support Contract - 2013,2012-10-18,1
50886,02:14.4,0:00:00,1,1,2015-09-07,2,663 2012/2013 Renewal,2012-11-06,1
51091,04:39.4,0:00:00,1,1,2014-12-11,1,664 stNS Implementation,2012-11-13,1
51294,01:03.3,0:00:00,1,1,2014-10-29,2,665 12 Month EoD (Alert Logic),2012-11-28,1
51708,00:28.5,0:00:00,1,1,2013-11-25,1,666 Web Site Migration,2012-12-06,1
51717,00:00.0,0:00:00,1,1,2012-12-27,1,667 Marketing Activities 2013,2012-12-27,1
51718,03:37.7,0:00:00,1,1,2013-12-18,1,668 steAP Implementation,2012-12-27,1
51719,00:15.3,0:00:00,1,1,2013-08-16,2,669 1 X EoD,2012-12-27,1
51720,00:09.8,0:00:00,1,1,2014-01-27,2,670 3 Month EoD (Dec2012-Feb2013),2012-12-27,1
51726,00:00.0,0:00:00,1,1,2013-07-15,1,671 Time & Materials,2013-01-10,1
51731,00:00.0,0:00:00,1,1,2013-08-20,1,672 Adaptive Planning Services,2013-01-16,1
51944,04:20.8,0:00:00,1,1,2013-08-19,2,673 Initial Service Contracts,2013-01-25,1
51948,00:00.0,0:00:00,1,1,2013-02-05,1,674 SOW-CRL-0113,2013-02-04,1
51949,00:00.0,0:00:00,1,1,2017-01-06,1,675 PanAm Post-Implementation Support,2013-02-05,1
52151,01:48.4,0:00:00,1,1,2013-04-29,1,676 Satisfaction Survey Updates,2013-02-21,1
52152,00:00.0,0:00:00,1,1,2013-07-23,2,677 6 Month EoD (February -July 2013),2013-02-21,1
